Time[s], Channel 9
1.628888312500000, 0
1.629518187500000, 1
1.630022562500000, 0
1.630630437500000, 1
1.631127562500000, 0
1.631768562500000, 1
1.632252875000000, 0
1.632878625000000, 1
1.633381625000000, 0
1.633989500000000, 1
1.634482375000000, 0
1.635125812500000, 1
1.635612437500000, 0
1.636238125000000, 1
1.636740250000000, 0
1.637348437500000, 1
1.637844812500000, 0
1.638487312500000, 1
1.640095250000000, 0
1.640705500000000, 1
1.642323750000000, 0
1.642946812500000, 1
1.644555187500000, 0
1.645200125000000, 1
1.646810187500000, 0
1.647418687500000, 1
1.649036437500000, 0
1.649664125000000, 1
1.651268250000000, 0
1.651913312500000, 1
1.653520375000000, 0
1.654130937500000, 1
1.655750250000000, 0
1.656379562500000, 1
1.656880750000000, 0
1.657488750000000, 1
1.657985687500000, 0
1.658628187500000, 1
1.660235875000000, 0
1.660845812500000, 1
1.662463750000000, 0
1.663094125000000, 1
1.664695437500000, 0
1.665339750000000, 1
1.665824250000000, 0
1.666450500000000, 1
1.668051187500000, 0
1.668697187500000, 1
1.669181062500000, 0
1.669807062500000, 1
1.671410312500000, 0
1.672053625000000, 1
1.673662750000000, 0
1.674273812500000, 1
1.674769687500000, 0
1.675410062500000, 1
1.675895062500000, 0
1.676520750000000, 1
1.677023437500000, 0
1.677631375000000, 1
1.679250437500000, 0
1.679878312500000, 1
1.680381062500000, 0
1.680989187500000, 1
1.682607375000000, 0
