Time[s], Channel 11
1.820783210000000, 0
1.821405680000000, 1
1.821915180000000, 0
1.822525250000000, 1
1.823020940000000, 0
1.823654010000000, 1
1.824147660000000, 0
1.824722480000000, 1
1.825276880000000, 0
1.825887710000000, 1
1.826382840000000, 0
1.827016550000000, 1
1.827509170000000, 0
1.828083390000000, 1
1.828638250000000, 0
1.829248360000000, 1
1.829744270000000, 0
1.830378910000000, 1
1.831998140000000, 0
1.832612420000000, 1
1.834228320000000, 0
1.834804870000000, 1
1.836462670000000, 0
1.837098200000000, 1
1.838717620000000, 0
1.839328180000000, 1
1.840948470000000, 0
1.841525690000000, 1
1.843184020000000, 0
1.843818240000000, 1
1.845438620000000, 0
1.846052160000000, 1
1.847670020000000, 0
1.848293010000000, 1
1.848801700000000, 0
1.849412180000000, 1
1.849907300000000, 0
1.850540120000000, 1
1.851033440000000, 0
1.851607910000000, 1
1.852162380000000, 0
1.852771980000000, 1
1.853267820000000, 0
1.853900530000000, 1
1.854394310000000, 0
1.854967940000000, 1
1.856626240000000, 0
1.857261450000000, 1
1.857754030000000, 0
1.858328140000000, 1
1.859985100000000, 0
1.860620810000000, 1
1.862240150000000, 0
1.862851870000000, 1
1.864472570000000, 0
1.865048150000000, 1
1.866706790000000, 0
1.867340380000000, 1
1.868961300000000, 0
1.869583770000000, 1
1.871191400000000, 0
1.871767310000000, 1
1.872321920000000, 0
1.872930810000000, 1
1.874551120000000, 0
