Time[s], Channel 9
1.291508687500000, 0
1.292145687500000, 1
1.292637437500000, 0
1.293199062500000, 1
1.293765000000000, 0
1.294301750000000, 1
1.294869875000000, 0
1.295513062500000, 1
1.296001000000000, 0
1.296556312500000, 1
1.297121875000000, 0
1.297690562500000, 1
1.298227625000000, 0
1.298870375000000, 1
1.299357125000000, 0
1.299946562500000, 1
1.300479875000000, 0
1.301082312500000, 1
1.302704625000000, 0
1.303333312500000, 1
1.304935750000000, 0
1.305579625000000, 1
1.307187312500000, 0
1.307799375000000, 1
1.309414750000000, 0
1.310042500000000, 1
1.311646125000000, 0
1.312287250000000, 1
1.313898437500000, 0
1.314507500000000, 1
1.316126000000000, 0
1.316751875000000, 1
1.318355812500000, 0
1.318995000000000, 1
1.319482812500000, 0
1.320106937500000, 1
1.320611875000000, 0
1.321220687500000, 1
1.322835500000000, 0
1.323459062500000, 1
1.323967125000000, 0
1.324576250000000, 1
1.326192625000000, 0
1.326815625000000, 1
1.327322437500000, 0
1.327931875000000, 1
1.329548187500000, 0
1.330170687500000, 1
1.330678375000000, 0
1.331287750000000, 1
1.332903250000000, 0
1.333526187500000, 1
1.335134812500000, 0
1.335769687500000, 1
1.336262312500000, 0
1.336880500000000, 1
1.338489562500000, 0
1.339125812500000, 1
1.339617500000000, 0
1.340235875000000, 1
1.341844812500000, 0
1.342480312500000, 1
1.342973687500000, 0
1.343591625000000, 1
1.345200000000000, 0
