Time[s], Channel 9
1.147736000000000, 0
1.148308687500000, 1
1.148865562500000, 0
1.149427500000000, 1
1.149993625000000, 0
1.150532125000000, 1
1.151097062500000, 0
1.151668625000000, 1
1.152225625000000, 0
1.152787437500000, 1
1.153354437500000, 0
1.153892437500000, 1
1.154456375000000, 0
1.155029375000000, 1
1.155585750000000, 0
1.156147687500000, 1
1.156714937500000, 0
1.157252687500000, 1
1.158943562500000, 0
1.159506250000000, 1
1.161173875000000, 0
1.161744312500000, 1
1.163428562500000, 0
1.163967500000000, 1
1.165657812500000, 0
1.166221062500000, 1
1.167889000000000, 0
1.168459625000000, 1
1.170143875000000, 0
1.170681750000000, 1
1.172373375000000, 0
1.172936187500000, 1
1.174602187500000, 0
1.175176125000000, 1
1.176857562500000, 0
1.177396250000000, 1
1.179088437500000, 0
1.179627062500000, 1
1.181318625000000, 0
1.181890062500000, 1
1.182447312500000, 0
1.183008750000000, 1
1.183576000000000, 0
1.184167937500000, 1
1.184678687500000, 0
1.185250187500000, 1
1.185808062500000, 0
1.186369125000000, 1
1.186936312500000, 0
1.187473312500000, 1
1.188040187500000, 0
1.188610625000000, 1
1.189167000000000, 0
1.189728687500000, 1
1.190295750000000, 0
1.190834750000000, 1
1.192523625000000, 0
1.193087625000000, 1
1.194756062500000, 0
1.195326750000000, 1
1.197008750000000, 0
1.197548625000000, 1
1.199238250000000, 0
1.199779062500000, 1
1.201470125000000, 0
