Time[s], Channel 9
0.762063625000000, 0
0.762627625000000, 1
0.763193125000000, 0
0.763755750000000, 1
0.764295812500000, 0
0.764957500000000, 1
0.765422125000000, 0
0.765982875000000, 1
0.766549000000000, 0
0.767111250000000, 1
0.767651937500000, 0
0.768287000000000, 1
0.768778375000000, 0
0.769339625000000, 1
0.769905187500000, 0
0.770467750000000, 1
0.771008625000000, 0
0.771643312500000, 1
0.773259812500000, 0
0.773822875000000, 1
0.775486937500000, 0
0.776050062500000, 1
0.777717750000000, 0
0.778352437500000, 1
0.779970437500000, 0
0.780534125000000, 1
0.782197500000000, 0
0.782760375000000, 1
0.784427125000000, 0
0.785058250000000, 1
0.786681125000000, 0
0.787243562500000, 1
0.788904125000000, 0
0.789470250000000, 1
0.790036375000000, 0
0.790599437500000, 1
0.791138000000000, 0
0.791773125000000, 1
0.792265187500000, 0
0.792827125000000, 1
0.794494500000000, 0
0.795124875000000, 1
0.796745500000000, 0
0.797309187500000, 1
0.797849062500000, 0
0.798482312500000, 1
0.800101000000000, 0
0.800664687500000, 1
0.801204562500000, 0
0.801835687500000, 1
0.803457437500000, 0
0.804019875000000, 1
0.805684062500000, 0
0.806246937500000, 1
0.807913562500000, 0
0.808514812500000, 1
0.809040812500000, 0
0.809601562500000, 1
0.810168312500000, 0
0.810730375000000, 1
0.812393937500000, 0
0.812955937500000, 1
0.813522562500000, 0
0.814085375000000, 1
0.815749500000000, 0
