Time[s], Channel 9
0.995183375000000, 0
0.995781250000000, 1
0.996315312500000, 0
0.996912687500000, 1
0.997420812500000, 0
0.998065312500000, 1
0.998552312500000, 0
0.999142125000000, 1
0.999675000000000, 0
1.000247937500000, 1
1.000780750000000, 0
1.001425625000000, 1
1.001911687500000, 0
1.002501812500000, 1
1.003034750000000, 0
1.003632437500000, 1
1.004140437500000, 0
1.004785812500000, 1
1.006391937500000, 0
1.006991312500000, 1
1.008618875000000, 0
1.009243437500000, 1
1.010850250000000, 0
1.011499750000000, 1
1.013104062500000, 0
1.013706812500000, 1
1.015333250000000, 0
1.015957000000000, 1
1.017564250000000, 0
1.018212187500000, 1
1.019817875000000, 0
1.020421875000000, 1
1.022045437500000, 0
1.022672875000000, 1
1.024276750000000, 0
1.024925187500000, 1
1.025411937500000, 0
1.026030375000000, 1
1.027635750000000, 0
1.028282812500000, 1
1.029888500000000, 0
1.030495937500000, 1
1.032116562500000, 0
1.032745812500000, 1
1.033248187500000, 0
1.033855187500000, 1
1.035475125000000, 0
1.036103812500000, 1
1.036605937500000, 0
1.037213875000000, 1
1.037710250000000, 0
1.038354812500000, 1
1.039960125000000, 0
1.040570312500000, 1
1.041067625000000, 0
1.041712625000000, 1
1.042193875000000, 0
1.042821000000000, 1
1.043321500000000, 0
1.043928437500000, 1
1.045546437500000, 0
1.046177812500000, 1
1.046678875000000, 0
1.047287000000000, 1
1.048905687500000, 0
