Time[s], Channel 9
3.197461125000000, 0
3.198094812500000, 1
3.198589875000000, 0
3.199151937500000, 1
3.199717625000000, 0
3.200280562500000, 1
3.200820562500000, 0
3.201453312500000, 1
3.201947500000000, 0
3.202509750000000, 1
3.203074562500000, 0
3.203613062500000, 1
3.204178062500000, 0
3.204811437500000, 1
3.205305375000000, 0
3.205867125000000, 1
3.206433000000000, 0
3.206996812500000, 1
3.208661437500000, 0
3.209224312500000, 1
3.210840000000000, 0
3.211493312500000, 1
3.213145125000000, 0
3.213709625000000, 1
3.215375437500000, 0
3.215936750000000, 1
3.217604750000000, 0
3.218238687500000, 1
3.219859250000000, 0
3.220422125000000, 1
3.222087375000000, 0
3.222650437500000, 1
3.224318187500000, 0
3.224950375000000, 1
3.226572812500000, 0
3.227135562500000, 1
3.228800625000000, 0
3.229362437500000, 1
3.229929375000000, 0
3.230490875000000, 1
3.232095250000000, 0
3.232719687500000, 1
3.234387062500000, 0
3.234988875000000, 1
3.235515000000000, 0
3.236076187500000, 1
3.236642937500000, 0
3.237204375000000, 1
3.237744562500000, 0
3.238378250000000, 1
3.238871062500000, 0
3.239432437500000, 1
3.239999375000000, 0
3.240560875000000, 1
3.242226812500000, 0
3.242789500000000, 1
3.243355437500000, 0
3.243918000000000, 1
3.244458062500000, 0
3.245091625000000, 1
3.246710687500000, 0
3.247273750000000, 1
3.248939625000000, 0
3.249501812500000, 1
3.251171625000000, 0
